Title,Department,Institution,Abstract,Start Date,End Date,Funding Agency,Researchers,Topic
META-ANALYSIS OF FRESHWATER AQUACULTURE PROVINCIAL WATER QUALITY MONITORING DATA,,Fisheries and Oceans Canada (DFO),"Recent increases in production capacity in Ontario, Saskatchewan, and British Columbia have prompted regulators to consider strategies for managing freshwater finfish aquaculture, in particular, ecosystem carrying capacity which is tightly coupled with the phosphorus released in aquaculture waste. Currently in Ontario, a water quality monitoring program is imposed as a condition to aquaculture licenses to ensure that the release of phosphorus from finfish farms does not exceed regulatory thresholds. The program, however, does not address phosphorus levels near or downstream from freshwater finfish farms, or if phosphorus concentrations have increased over the decade that sampling has been conducted. One of the primary environmental concerns restricting the expansion of the freshwater finfish cage industry is the ability of the environment to assimilate waste, in particular phosphorus. Phosphorus is the nutrient that limits the biomass of primary producers; excessive amounts of phosphorus released from aquaculture cages pose a risk of eutrophication in freshwater ecosystems. A decade of water monitoring data collected through the historic Ontario monitoring program will be analyzed to determine if there is evidence that freshwater finfish cages are contributing to elevated phosphorus concentrations and to the eutrophication in the environment. Given the link between assimilation of phosphorus and carrying capacity, the results of this project will provide further insight to the role of ecosystem carrying capacity in accommodating sustainable expansion of the industry. ",AUG. 2014,MAR. 2015,DFO – Program for Aquaculture Regulatory Research (DFO – PARR),Cheryl Podemski (DFO),Aquaculture - Finfish
MIGRATION TIMING AND DISTRIBUTION OF JUVENILE SALMON IN DISCOVERY ISLANDS AND JOHNSTONE STRAIT,,Fisheries and Oceans Canada (DFO); Marine Harvest Canada Inc.; Grieg Seafood BC Ltd.; Cermaq Canada,"This research will help explain how juvenile salmon utilize the Strait of Georgia, including the Discovery Islands area, with a focus on Fraser River Sockeye Salmon and to a lesser extent, Chinook Salmon. It will also provide the information required to fully assess the risks of disease transfer from salmon farms to the wild, understand the potential consequences of such transfers, and inform farm management policies. Purse seines and DFO trawl surveys have greatly increased the understanding of the migration and health of juvenile salmon within the Strait of Georgia, BC, especially for Sockeye Salmon. Surveys conducted in 2010–2012 revealed that Fraser River Sockeye Salmon do not enter the Discovery Islands area (a fish farming area) until the end of May, and that they are widely distributed throughout this area for at least part of June. To further assess risks associated with interactions between farmed and wild fish, information in the following key areas is needed:  
(1) Knowledge of migratory pathways of salmon and the duration of their residency in the vicinity of fish farms;
(2) Knowledge of the prevalence of pathogens and diseases within wild and farmed populations; and 
(3) Knowledge of environmental and host conditions during the periods wild salmon reside in the vicinity of fish farms. Additionally, more information is required to further understand when and for how long juvenile salmon are present in the vicinity of fish farms, as well as to describe migration timing of juvenile Fraser River Sockeye Salmon out of the Strait of Georgia. To gain this required information, sampling will be performed using a three-year trawl survey in the Strait of Georgia and a three-year purse seine combined with hydroacoustic surveys in Johnstone Strait.
",APR. 2014,MAR. 2016,DFO – Aquaculture Collaborative Research and Development Program (DFO – ACRDP); Marine Harvest Canada Inc.; Grieg Seafood BC Ltd.; Cermaq Canada,"Stewart Johnson (DFO); Marc Trudel, Chrys Neville (DFO); Diane Morrison (Marine Harvest Canada Inc.); Barry Milligan (Grieg Seafood BC Ltd.); Peter McKenzie (Cermaq Canada); Marine Harvest Canada Inc.; Grieg Seafood BC Ltd.; Cermaq Canada",Aquaculture - Finfish
ECOLOGICAL EFFECTS OF BLUE LED LIGHTS USED AT MARINE FINFISH AQUACULTURE SITES IN BRITISH COLUMBIA ,,Fisheries and Oceans Canada (DFO); Grieg Seafood BC Ltd.,"The use of artificial lighting within finfish aquaculture operations is a common technique used to delay sexual maturation and produce larger fish. Currently, finfish growers in British Columbia are interested in exploring the use of blue light emitting diode (LED) lights. These blue LED lights are more efficient, use less energy, and last longer than the traditionally used white metal halide lights, making them an attractive, economical choice. However, artificial lighting may affect both the diversity and abundance of the native organisms surrounding an aquaculture site, and this study evaluated these potential effects. The use of blue LED lights at an experimental site at night was found to attract fish and zooplankton, when compared to unlit controls. No statistical difference was observed for phytoplankton abundance (in the absence of blooms) or the settlement of benthic invertebrates between blue LED lights and controls. A commercial finfish site was also equipped with blue LED lights to determine their effects on fish maturation, growth, and sea lice counts in comparison to a site equipped with traditional white halide lights. There was no statistical difference in sea lice counts between farm sites equipped with blue LED lights or white halide lights, but direct comparisons were difficult. The results of this project have led to an increased understanding of the effects of blue LED lights on the native biota, but continued research is necessary in order to determine the effects and implications of blue LED lights directly at an aquaculture site. This information will allow both industry and Fisheries and Oceans Canada (DFO) to continue to support the sustainable development of finfish operations in British Columbia, and better manage the intricate relationship between aquaculture and the environment.",APR. 2011,DEC . 2013,DFO – Aquaculture Collaborative Research and Development Program (DFO – ACRDP); Grieg Seafood BC Ltd.,Hannah Stewart (DFO); Grieg Seafood BC Ltd.,Aquaculture - Finfish
ASSESSING SENSITIVITY TO EMAMECTIN BENZOATE (SLICE®) IN SEA LICE LEPEOPHTHEIRUS SALMONIS FROM FARMED ATLANTIC SALMON IN BRITISH COLUMBIA,,Fisheries and Oceans Canada (DFO); Marine Harvest Canada Inc.,"As this research is the first effort to document sub-lethal effects of emamectin benzoate (SLICE®), a commonly used sea lice treatment. The results of this project will contribute to both increased knowledge and improved disease management strategies to help minimize the impacts of pathogens on farmed salmon. Infestation with sea lice (Lepeophtheirus salmonis) is a significant economic burden to commercial salmon aquaculture. While there are a range of sea lice control strategies, in-feed emamectin benzoate (known commercially as SLICE®) is the treatment of choice for sea lice on farmed Atlantic Salmon because of its high efficacy and ease of application. However, recent treatment failures have been linked to resistance to SLICE® within sea lice populations. While in vitro data support the conclusion that sea lice in British Columbia remain sensitive to SLICE®, treatment efficacy is variable among sites. Sublethal effects of SLICE® are poorly documented and if this treatment is to remain an effective management strategy, it is important to determine its effects on treatment survivors and on sea lice prior to mortality. This project will attempt to forward that knowledge by: (1) assessing the hatch rate, developmental rate, and viability of cultured larval sea lice (L. salmonis); (2) generating first generation (F1 generation) sea lice to permit comparative assessments of SLICE® sensitivity with parental sea lice; and (3) performing biological assessments to determine the SLICE® sensitivity of parental and F1 generation sea lice, pre- and post-treatment, from each of three salmon production sites. ",APR. 2014,MAR. 2015,DFO – Aquaculture Collaborative Research and Development Program (DFO–ACRDP); Marine Harvest Canada Inc.; ,"Simon Jones (DFO); Amelia Mahoney (DFO); Brad Boyce, Diane Morrison (Marine Harvest Canada Inc.); Marine Harvest Canada Inc.",Aquaculture - Sea Lice
MONITORING AND MODELLING OF SEA LICE INTERACTION WITH WILD AND FARMED SALMON IN THE BROUGHTON ARCHIPELAGO,,Fisheries and Oceans Canada (DFO); Marine Harvest Canada; Grieg Seafood BC; Mainstream Canada,"This project has helped to improve our understanding of the interactions of sea lice with wild and farmed fish. The results of this research will help inform decisions on the siting and management of finfish aquaculture sites in BC and support the long term health of wild fish populations and the fish farm industry. The interaction of sea lice with farmed salmon and wild salmon has been the focus of international concern for at least a decade. Health and growth performance issues associated with sea lice infestations continue to be a significant concern for the salmon farming industry globally, driving the implementation of preventative measures in areas where there is the threat of infestation. This project developed a predictive model of the distribution of sea lice originating from fish farms and estimated the number of encounters of out-migrating salmon with sea lice. It also established statistically robust models to capture associations between the sea lice burden on wild fish and conditions on BC fish farms. Modelling was used to associate factors such as year, month, type of seine gear used, fish species, and fish length to the presence of sea lice on wild chum and pink salmon. Using Geographical Information Systems (GIS) software, trajectory maps (maps which show the direction and distance of particle movement) and particle density maps were generated for fish farm locations in the Broughton, as well as corresponding fish farm connectivity tables (tables which describe the overlap of particle exchange between farms). ",APR. 2012,MAR. 2014,DFO – Aquaculture Collaborative Research and Development Program (DFO – ACRDP); Marine Harvest Canada; Grieg Seafood BC; Mainstream Canada,Peter Chandler (DFO); Marine Harvest Canada; Grieg Seafood BC; Mainstream Canada,Aquaculture - Sea Lice
SEA LICE INFECTION LEVELS ON JUVENILE SALMON DURING EARLY SEAWATER RESIDENCY AND MIGRATION OUT OF THE STRAIT OF GEORGIA,,Fisheries and Oceans Canada (DFO),"There have been reports that suggest the poor returns of Fraser River Sockeye Salmon could be caused by infections with sea lice acquired from salmon farms during their northern migration from the Strait of Georgia. To determine the potential impact, if any, from salmon farms, background information is needed about the species of sea lice that are present and their numbers on juvenile salmon and non-salmonid hosts. This multi-year project involved sampling of juvenile salmonids and non-salmonids for sea lice during the out migration period. Samples were collected from numerous sites throughout the Strait of Georgia and Johnstone Strait to examine the role that salmon farms may play as a source of sea lice infections on wild fish. Prevalence and abundance of the different sea lice species and their developmental stages were determined. Samples of juvenile Fraser River Sockeye are also examined for the presence of other pathogens and disease. This project provides valuable information on: 
(1) the species composition and abundance of sea lice in these areas; 
(2) when and where fish become infected with sea lice; 
(3) whether patterns of sea lice infection vary among years; and 
(4) the overall health status of juvenile Fraser River Sockeye Salmon.
",APR. 2010,MAR. 2014,DFO – Program for Aquaculture Regulatory Research (DFO – PARR),"Stewart Johnson, Richard Beamish, Marc Trudel (DFO); Chrys Neville, Kyle Garver, Simon Jones (DFO)",Aquaculture - Sea Lice
THE EFFECTS OF SINGLE AND REPEAT LEPEOPHTHEIRUS SALMONIS (SEA LICE) INFECTIONS ON THE HEALTH OF JUVENILE PACIFIC SALMON,,Fisheries and Oceans Canada (DFO),"There is evidence that different species of Pacific salmon differ in their susceptibility to infections with the sea louse, Lepeophtheirus salmonis, under laboratory conditions. For example, Pink and Coho Salmon have been shown to be less susceptible to sea lice infections than Chinook or Chum Salmon. This multi-year project examined the susceptibility and lethal infection level of juvenile Sockeye, Coho, and Chum Salmon to L. salmonis. In addition, the effects of previous exposure to L. salmonis on susceptibility to infection and the physiological and immunological responses were determined for these species. The project provides managers with tools to help evaluate risks to juvenile salmon, particularly Sockeye Salmon, associated with sea lice infections. The results may be useful in establishing criteria for netpen salmon aquaculture related to siting and site-related thresholds such as production limits and stocking densities. ",APR. 2010,MAR. 2014,DFO – Program for Aquaculture Regulatory Research (DFO – PARR),"Simon Jones, Stewart Johnson (DFO)",Aquaculture - Sea Lice
PATHOGEN SUSCEPTIBILITY OF SOCKEYE SALMON – PHASE 1: INFECTIOUS SALMON ANEMIA (ISAV) AND ALPHAVIRUS (SPDV),,Fisheries and Oceans Canada (DFO); Marine Harvest Canada Limited,"Sockeye Salmon (Oncorhynchus nerka) is the third most common Pacific salmon species, after Pink and Chum Salmon. The Fraser River salmon run has experienced declines in productivity since the 1990s. The reasons for this decline remain speculative. The Commission of Inquiry into the Decline of Sockeye Salmon in the Fraser River was launched as a consequence. One recommendation of the report is that “The DFO should undertake or commission research into the health of Fraser River Sockeye Salmon, including: the hypothesis that diseases are transmitted from farmed salmon to wild Sockeye”. The CFIA-led, BC surveillance was launched in 2012. Thousands of samples were tested for ISAV and none was found. Although the testing meets the statistical requirements to eventually declare disease freedom, it does not look at the susceptibility of Pacific salmon species to the pathogens targeted. The risk of introduction is minimal but the consequences of an introduction or of an outbreak in a farm are not predictable without this data. We propose to examine disease resistance or susceptibility of Sockeye to various pathogens known to affect Atlantic Salmon, e.g., ISAV and SPDV (or Salmon Alphavirus). With the expertise in DFO, along with high level biocontainment facilities, this type of disease research can proceed and will generate essential knowledge for better management practices. `",APR. 2014,MAR. 2018,DFO – Aquaculture Collaborative Research and Development Program (DFO – ACRDP),"Nellie Gagne (DFO); Francis Leblanc, Phil Byrne (DFO); Diane Morrison (Marine Havest Canada)",Aquaculture - Fish Health
"ESTIMATING THE POTENTIAL FOR WATERBORNE TRANSMISSION OF INFECTIOUS HEMATOPOIETIC NECROSIS VIRUS (IHNV) BETWEEN SALMON FARMS AND WILD SOCKEYE IN THE DISCOVERY ISLANDS, BRITISH COLUMBIA",,Fisheries and Oceans Canada (DFO); Marine Harvest Canada Limited; Grieg Seafood BC Ltd.; Mainstream Canada (Cermaq Canada Ltd.),"Results from this study will provide further tools to manage infectious hematopoietic necrosis virus, and allow DFO to ensure the protection of farmed and wild fish health by determining optimal locations for aquaculture sites. In British Columbia, infectious hematopoietic necrosis virus is responsible for major economic losses in Atlantic Salmon aquaculture operations. Due to the significance of this pathogen, it is important to understand the risk of, and factors affecting, viral dispersion from infected sites. To this end, this study is developing a viral dispersion model for the Discovery Islands, an area home to multiple net-pen salmon farms. Accurate geo-spatial predictions of risk for IHNV transmission are simulated through the coupling of IHNV transmission parameter estimates as reported (PLoS ONE 8(12):e82296) with a recently developed hydrodynamic ocean circulation model for the Discovery Islands (Atmosphere- Ocean 50(3):301-306). Additionally risk estimates are not only quantified for disease transmission potential between farms, but also between farmed Atlantic and wild Sockeye Salmon. Utilizing empirical data obtained through controlled laboratory exposure studies, the susceptibility of saltwater phase Sockeye Salmon to IHN disease is determined. Ultimately, temporally- and spatially-evolving viral concentration maps are combined with the lab-determined minimum infectious dosages to estimate the infection connectivity among farms and risk of virus spread to wild fish. ",JUN. 2013,APR. 2015,DFO-Aquaculture Collaborative Research and Development Program (DFO – ACRDP); Marine Harvest Canada Limited; Grieg Seafood BC Ltd.; Cermaq Canada Ltd.,"Kyle Garver (DFO); Mike Foreman (DFO); Barry Milligan, Diane Morrison, Peter McKenzie",Aquaculture - Fish Health
INVESTIGATING PROBIOTIC BACTERIA AND THEIR BACTERIOCINS AS PART OF A DISEASE MANAGEMENT STRATEGY IN SALMON AQUA CULTURE,,University of Alberta (U Alberta); Marine Harvest Canada Inc.; Cermaq Canada Ltd.; Fisheries and Oceans Canada (DFO),"This research will offer the first comprehensive assessment of the antibiotic properties of known and unknown bacteriocins and, as such, constitutes an investigation into a novel category of drug treatment. The results of this research will help inform disease management strategies to minimize the impact of pathogens and ultimately improve fish health. The susceptibility of farmed salmon to bacterial disease and sea lice (Lepeophtheirus salmonis and Caligus species) is a health management issue for the aquaculture industry. Currently, antibiotics and antiparasitics are used to treat bacteria and sea lice, respectively, however, there are concerns regarding the effectiveness and long term sustainability of these methods. This research project will evaluate the potential for probiotic bacteria (microorganisms associated with beneficial effects to humans and animals) and bacteriocins (antimicrobial, naturally occurring compounds produced by certain bacteria) to aid in the reduction of antibiotics currently used to treat bacterial diseases in salmon. Another point of focus will be on the potential of Bacillus and Paenibacillus bacterial species to aid in reducing the use of chemical therapeutants, such as emamectin benzoate (SLICER), as a treatment of sea lice infections in salmon. ",APR. 2014,MAR. 2015 ,DFO – Aquaculture Collaborative Research and Development Program (ACRDP); Cermaq Canada; Marine Harvest Canada Inc.; National Strategic Research and Engineering Council (NSERC) ,"Simon Jones (DFO); Peter McKenzie (Cermaq Canada); Diane Morrison (Marine Harvest Canada Inc.); Marije Booman (DFO); John Vederas, Lynn McMullen (U Alberta); Cermaq Canada Ltd.; Marine Harvest Canada Inc.",Aquaculture - Fish Health
