Title	Department	Institution	Abstract	Start Date	End Date	Funding Agency	Researchers	Topic
"Improving the Growth, Health, and Survival of Tilapia in a Greenhouse-Enclosed Intensive Recirculating Aquaculture System"		"University of British Columbia (UBC), Viva Aquaculture and Seafood Distribution Ltd."	"Warm-water tilapia (Oreochromisniloticus) is becoming an important commercial freshwater fish in North America. Viva Aquaculture and Seafood Distribution Ltd. (Viva) in collaboration with The University of British Columbia (UBC) has engaged in sustainable tilapia aquaculture production to supply the strong market demand in British Columbia. To overcome technological uncertainties which cannot be removed using standard practice, the general project objective is to produce healthy tilapia in sustainable, environment-friendly, and in a less expensive way within a land-based facility without affecting the surrounding environment by generating “zero waste”. Based on biological principles, the research team has developed a sustainable land-based tilapia aquaculture system in a Canadian climate. Beneficial nitrifying bacteria were used to convert toxic nitrogenous wastes into non-harmful compounds, which are absorbed by selected aquatic vascular plants and microalgae. Innovative bio-engineering design to recirculate clean water and conserve heat to maintain suitable condition for tilapia culture was employed. A “zero waste” system is being developed to make fish production more sustainable, profitable, and environment-friendly. Our research has yielded initial results that show encouraging outcomes during the first year of project implementation. It is expected that employing these new innovations will lead to lower production cost, increased economic benefits, and improved fish quality; all of which will lead to an environmentally sustainable production of live tilapia. Culturing tilapia in a land-based, enclosed intensive recirculating system using innovative bioengineering design, beneficial microbes, algae, and vascular aquatic plants will lessen environmental impact, lower production cost, provide economic opportunities, and produce a healthy and diversified source of seafood for Canadian consumers."	FEB. 2015	DEC. 2018	Viva Aquaculture and Seafood Distribution Ltd. (“Viva”); Hero Invincible Bio Aqua Farm	"Jesse Ronquillo (UBC; Viva), Chang Lin Ye, Kai Chen (Viva), David Kitts (UBC)"	Aquaculture - Finfish: Freshwater
"Enhancing Production in Coho: Culture, Community, Catch"		"Simon Fraser University (SFU), Université Laval (ULaval)"	"Coho Salmon, one of the most highly valued species in British Columbia (BC), began suffering declines in 1989 due to lower returns and high harvest rates to the point where the commercial fishery for Coho Salmon was essentially closed in 1997. Reopening the Coho Salmon fishery using recovered and enhanced populations would bring economic and social benefits to BC. The Enhancing Production In Coho: Culture, Community, Catch (EPIC4) project aims to develop and use new genomics tools to address challenges facing safe, secure, and sustainable production of Coho Salmon. The interdisciplinary team has sequenced the Coho Salmon genome and the first results have resolved clear patterns of regional populations structuring, both within BC and at the scale of the entire distribution range. Genotyping of the hatchery broodstocks sampled in 2014 and 2015 showed strong regional population structuring and allowed high levels of accuracy in assigning salmon to specific hatcheries or geographic regions. In addition, first results on the heritability and genetic correlation shed light on the genetic basis of flesh colour and the response of this trait to artificial selection for harvest weight over the time course of eight generations. The team is also working with stakeholders, including First Nations, regarding the implementation of EPIC4 scientific knowledge about Coho Salmon to help revive and sustain the wild Coho fisheries. The work on this project could lead to more economically viable Coho Salmon fisheries serving both domestic and export markets. Our results should also be transferable to other species of Pacific Salmon as well as salmonids from other regions of Canada."	OCT. 2015	SEP. 2019	Genome Canada; Genome British Colombia	"William Davidson (SFU), Louis Bernatchez (U Laval)"	Aquaculture - Finfish: Freshwater
Domestication Compromises Athleticism and Respiratory Plasticity in Response to Aerobic Exercise Training in Atlantic Salmon (Salmo salar)		"University of British Columbia, Nofima AS (Norway), Marine Harvest ASA (Norway), University of Turku (Finland), University of Western Brittany Brest (France), Nord University (Norway)"	"In this project we address the possibility that the Norwegian Atlantic Salmon (Salmo salar) breeding program which focuses on commercially beneficial traits, such as rapid growth, may compromise the cardiorespiratory system. This may contribute to the mortality of smolts after seawater transfer. A suite of respiratory indices (including standard metabolic rate, maximum rate of oxygen uptake, absolute aerobic scope, excess post-exercise oxygen consumption, critical oxygen level, and incipient lethal oxygen saturation) was used to evaluate aerobic capacity and hypoxia tolerance to test the hypothesis that exercise training improves the athletic robustness in both domesticated and wild strains of Atlantic Salmon. These hypotheses were tested with Atlantic Salmon parr of domesticated and wild strains that were reared under identical hatchery conditions. The two strains of fish were given either an 18-day exercise-training regime (an incremental water current of 2.0–2.8 FL s?1), or were maintained at the control water current (0.5 FL s?1) for 18 days. While exercise training produced several tangible benefits for the wild fish, it produced very few for the domesticated fish. This shows that the domesticated strain was athletically less robust than the wild strain. These results imply that approximately ten generations of selective breeding for rapid growth in commercial aquaculture have reduced the overall athletic robustness of domesticated salmon as compared to their wild conspecifics. Given the success in improving athletic robustness of the wild strain, it still remains to be seen whether an exercise training protocol can be developed that will provide benefits to the salmon aquaculture industry."	JAN. 2013	DEC. 2016	The Research Council of Norway; The Fishery and Aquaculture Industry Research Fund; Canada Research Chairs Program (CRCP); Kone Foundation–Elizabeth R. Howland Fellowship	Sven Martin Jørgensen (Nofima AS); Anthony P. Farrell (UBC); Yangfan Zhang (UBC); Gerrit Timmerhaus (Nofima AS); Harald Takle (Marine Harvest ASA); Guy Claireaux; Florian Mauduit (UBO); Katja Anttila (University of Turku); Torstein Kristensen (Nord University)	Aquaculture - Finfish: Salmon
What is a Farmed Salmon? Understanding the Life of a Seafood Commodity from Ocean to Table		"University of Victoria (UVic), Duke University, Grieg Seafood BC Ltd., Marine Harvest Canada Limited"	"Farmed Atlantic Salmon is one of the world's most valuable and widely traded seafood commodities. Its consumption is driven by increased global consumer demand that can no longer be met by wild fisheries alone. It is now the fastest growing food production system in the world. It also provides jobs and revenue for many coastal communities, including in BC where the sector is a significant economic driver in some rural, largely resource-dependent communities, including some First Nations villages. However, despite its significant economic contributions, and the ever increasing global demand for the product, both current operations and growth of the sector in BC have been consistently challenged by social license constraints (community intolerance for new and increased aquaculture development) that reflect, among other things, the deeply embedded plurality of perspectives regarding farmed salmon. Research about farmed salmon can be widely found in the ecological, economic, and business literature; however, there is a noteworthy gap in the social sciences literature. This research uses multi-sited ethnographic methodology (observation, conversational interviews, and document analysis) to 'follow the fish' along the commodity chain-recording, comparing, and contrasting ideas, beliefs and knowledge about the product, both positive and negative, amongst people who engage with it on its path from production to consumption. Research sites include fish farms, processing plants, sales and distribution centres, and restaurants in Tofino, Port Hardy, Campbell River, and San Francisco. This research will produce rich, qualitative information from employees, customers, stakeholders, and others about the production processing, transport, culinary preparation, sales, and consumption practises for Atlantic Salmon farmed in BC. This information will increase our understanding of social-cultural issues along the entire value chain, contributing to the social license dialogue by providing greater understanding of the broader social-cultural perspectives about farmed salmon, at a time when the sector is pursuing new and increased opportunities in Canada and abroad."	OCT. 2015	SEP. 2018	MITACS Accelerate (PhD Fellowship); Grieg Seafood BC Ltd.; Marine Harvest Canada Limited; BC Jobs Plan	Michele Patterson (UVic); Rosaline Canessa (UVic); Grant Murray (Duke U); Marilyn Hutchinson (Grieg Seafood); Sharon DeDominicis (Marine Harvest Canada Limited)	Aquaculture - Finfish: Salmon
Use of Hydro-Acoustic Methods to Assess the Migration Timing and Distribution of Juvenile Salmon in Discovery Islands and Johnstone Strait		"Fisheries and Oceans Canada (DFO), British Columbia Salmon Farmers Association (BCSFA)"	"During their migration to the Northern Pacific, juvenile wild salmon from the Strait of Georgia pass through the Discovery Islands and Lower Johnstone Strait, where salmon farming occurs. This project seeks to inform the risk of disease transfer associated with interactions between wild and farmed salmon in this area by studying wild salmon migratory pathways and the duration of their residency in the vicinity of these fish farms. In conjunction with traditional survey/sampling methods (including purse seining, beach seining, and trawling) using hydro-acoustics offers a cost-effective way of monitoring fish abundance, behaviours, and distribution for extended and continuous periods of time. This will enable observation and data collection on juvenile wild salmon migration in the area of fish farms, thus gaining insights into potential impacts of wild salmon on farmed salmon and vice versa. The results of this project will:
• Assist in informing a risk assessment process to investigate the risks of pathogen transfer from farmed to wild salmon, particularly in the Discovery Islands.
• Improve our understanding and inform and support the development of evidence-based aquaculture management approaches. 
• Provide information in addressing critical uncertainties and recommendations as identified in the Cohen Report with respect to: 
1. marine survival in their early marine life; 
2. disease transfer and interactions between wild and farm salmon; and
3. assessing the cumulative impacts of multiple stressors on Fraser River Sockeye Salmon productivity.
• Inform operational decisions and best practices engaged in by the BC salmon aquaculture industry.
"	MAY. 2015	JUN. 2017	DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); BC Salmon Farmers Association (BCSFA); 	Stéphane Gauthier (DFO); Stewart Johnson; Marc Trudel; Chrys-Ellen Neville (DFO); Joanne Liutkus (BCSFA)	Aquaculture - Finfish: Salmon
Migration Timing and Distribution of Juvenile Salmon in Discovery Islands and Johnstone Strait		"Fisheries and Oceans Canada (DFO), Marine Harvest Canada Limited, Grieg Seafood BC Ltd., Cermaq Canada"	"This research is determining how juvenile salmon utilize the Strait of Georgia, including the Discovery Islands area, with a focus on Fraser River Sockeye Salmon and to a lesser extent, Chinook Salmon. It will also provide the information required to fully assess the risks of disease transfer from salmon arms to the wild, understand the potential consequences of such transfers, and inform farm management policies. Purse seines and DFO trawl surveys have greatly increased the understanding of the migration and health of juvenile salmon within the Strait of Georgia, BC, especially for Sockeye Salmon. Surveys conducted in 2010–2012 revealed that Fraser River Sockeye Salmon do not enter the Discovery Islands area (a fish farming area) until the end of May, and that they are widely distributed throughout this area for at least part of June. To further assess risks associated with interactions between farmed and wild fish, information in the following key areas is needed: 1) knowledge of migratory pathways of salmon and the duration of their residency in the vicinity of fish farms; 2) knowledge of the prevalence of pathogens and diseases within wild and farmed populations; and 3) knowledge of environmental and host conditions during the periods wild salmon reside in the vicinity of fish farms. Additionally, more information is required to further understand when and for how long juvenile salmon are present in the vicinity of fish farms, as well as to describe migration timing of juvenile Fraser River Sockeye Salmon out of the Strait of Georgia. To gain this required information, sampling will be performed using a three-year trawl survey in the Strait of Georgia and a three-year purse seine combined with hydroacoustic surveys in Johnstone Strait."	APR. 2014	JUN. 2017	DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); Marine Harvest Canada Limited; Grieg Seafood BC Ltd.; Cermaq Canada Ltd.	"Stewart Johnson (DFO); Marc Trudel, Chrys-Ellen Neville (DFO); Diane Morrison (Marine Harvest Canada Limited); Patrick Whittaker (Grieg Seafood BC Ltd.); Barry Milligan (Cermaq Canada)"	Aquaculture - Finfish: Salmon
Reduction of Ammonia and Solids from Chinook Salmon Culture Facilities		"Fisheries and Oceans Canada (DFO), AgriMarine Industries Inc."	"In farmed fish, metabolic processes produce nitrogenous (principally ammonia) wastes which are released into the environment. That fish are not efficiently utilizing the feed for growth and maintenance represents a potential economic loss. Additionally, the release of nitrogenous wastes into the environment can have implications for the ecosystem and the fish farm, and regulatory consequences for culture facilities. This study explored how feed regimes designed to stimulate compensatory growth may be used during Chinook Salmon production to reduce nitrogen excretion into the environment and increase food utilization by the fish. When faced with modest periods of food deprivation, the salmon were found to maintain growth and excrete less nitrogen, despite the similarity of their final weights to the control group. This indicates that repeated short-term food deprivation of two days duration over a seven week cycle may provide a useful strategy for reducing nitrogen loss to the environment, while minimizing the loss of growth potential of the fish. The results of this research indicate the possibility for using cyclical feeding to reduce nitrogen excretion during salmon farming. This would be especially beneficial at land-based salmon farms with systems where the water discharge is focused to a single outflow, recirculating aquaculture, and multiple net-pens or tanks."	AUG. 2012	SEP. 2015	"DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP), Agrimarine Industries Inc."	"Ian Forster (DFO); Lawrence Albright (AgriMarine Industries Inc.), Robert Walker (AgriMarine Industries Inc.)"	Aquaculture - Finfish: Salmon
The Use of Kelp Perch and Pile Perch to Control Sea Lice (Lepeophtheirus salmonis) on Infested Atlantic Salmon Smolts		"Vancouver Aquarium, Living Elements Ltd., Marine Harvest Canada Ltd., Fisheries and Oceans Canada (DFO)"	"Sea lice infestations in farmed Atlantic Salmon require regular monitoring and, sometimes, treatments with chemicals such as SLICE®. Alternative methods to control sea lice infestations are needed to improve the sustainability of Atlantic Salmon farming. Biological controls as a method to control sea lice infestations have been considered as viable mitigation tools to reduce sea lice infestations for many years and are now being successfully used in Norway and Scotland, with cleaner fish such as wrasse and lumpfish. The goal of this research was to demonstrate if Kelp Perch (Brachyistius frenatus) and Pile Perch (Rhacochilus vacca) would clean sea lice off infested Atlantic Salmon. Several cohabitation trials have been performed whereby Kelp or Pile Perch were placed in tanks with sea lice infested salmon. While variation in feeding activity exists, perch of both species actively cleaned infested salmon of parasitic sea lice within 48 hours of cohabitation. Video evidence supports this result showing perch actively feeding on parasitic sea lice. Additionally, digested sea lice were found within cohabitating perch gastrointestinal tracts and in fecal casts recovered from experimental tanks. Salmon body condition and health showed no observable differences between experimental and control tanks, indicating that active sea lice predation by perch does not result in negative health impacts to infested salmon. This research addresses a large issue facing the salmon farming industry in BC by conducting research to find a sustainable way to reduce the environmental, economic, and public perception issues related to sea lice infestations in farm raised Atlantic Salmon. The use of cleaner fish to reduce sea lice infestations is an environmentally friendly solution to this issue of protecting wild salmon populations."	DEC. 2014	ONGOING	Sea Pact; BCSFA–Marine Environment Research Program (BCSFA–MERP); Marine Harvest Canada Ltd.	"Shannon Balfry (Vancouver Aquarium); Maureen Finn (Living Elements Ltd.); Sam Ferguson, Selina Thorberg (Vancouver Aquarium); Diane Morrison (Marine Harvest Canada Ltd.); Simon Jones (DFO)"	Aquaculture - Sea Lice
Wild Salmon Sea Lice Data Integration–Sea Lice Monitoring Network Development for Wild Salmon in Vancouver Island Coastal Waters		University of Prince Edward Island (UPEI)	"Sea lice monitoring programs on wild Pacific smolts have served to broaden the understanding of sea lice ecology and help to further develop sea lice management protocols on salmon farms. Studies where a large amount of annual data has been collected present a novel opportunity to study patterns over time, particularly where such studies offer structured snap-shots in space and/or time. To fully capture the value of these types of studies, it is essential that they be integrated for the purposes of comparison and aggregation. This program aims to create a single repository for sea lice monitoring data from wild fish in British Columbia (BC), collected by the salmon farming industry, and supplemented by additional data sets generated from conservation groups, academics, First Nations, and government. Large sets of consistent, annual data can be used in sea lice population studies, not only to determine abundance and intensity, but also to help map clustering patterns in predicting where sea lice will likely be most prevalent in a particular area by stage and time of year. The program is currently synthesizing existing sea lice data sets into a useful format to communicate historical data trends, while also collecting and storing data from current industry-sponsored sea lice monitoring programs. This includes ongoing monitoring of sea lice on wild fish. By bringing these data together, new opportunities will arise to conduct further analyses, report on trends noted in various regions, and increase transparency as well as the potential for information sharing. By integrating data sets from conservation groups, academia, First Nations, government, and salmon farming companies, greater analytical and modelling opportunities arise. This should ultimately benefit all contributing parties and the sustainability of the aquatic ecosystem along the BC coast."	APR. 2016	MAR. 2017	BC Salmon Farmers Association (BCSFA)	"Crawford Revie (UPEI), Thitiwan Patanasatienkul (UPEI)"	Aquaculture - Sea Lice
Studies of Sea Lice Infection Levels on the Health of Juvenile Salmon in the Strait of Georgia and Adjacent Waters		Fisheries and Oceans Canada (DFO)	"To assess risk associated with sea lice and microbe transfer between farmed and wild salmon, we have undertaken a detailed study on the: 1) migratory pathways of wild salmon and the duration of their residency in the vicinity of fish farms; 2) the prevalence of pathogens and diseases within wild and farmed populations; and 3) the overall physiological well-being and health of wild populations as this impacts their susceptibility to infection. Using net-based surveys we have examined the duration of juvenile Fraser River Sockeye Salmon residency within the Strait of Georgia, as well as in the vicinity of salmon farms in the Discovery Islands. We have found that the majority of juvenile Fraser River Sockeye Salmon pass through the Discovery Islands over a two to three week period in early to mid-June. Caligus clemensi was the dominant species of sea lice present, but was in low abundance on juvenile salmon, Pacific Herring, and Three-spined Sticklebacks. There was no significant increase in the numbers of sea lice on juvenile salmon in the vicinity of salmon farms in the Discovery Islands. Infections with the Hematopoietic Necrosis Virus (IHNV) and the parasites Parvicapsula minibicornis and Myxobulus articus have been seen in samples collected in the lower Fraser River and throughout the Strait of Georgia. The prevalence of infection of these agents is highly variable among years and stock of origin. We have neither found Piscine Orthoreovirus (PRV) nor Renibacterium salmoninarum in any of the fish that we tested."	APR. 2010	MAR. 2017	DFO–Program for Aquaculture Regulatory Research (DFO–PARR); DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); Pacific Salmon Commission (PSC)	"Stewart Johnson, Marc Trudel (DFO), Chrys Neville, Kyle Garver, Simon Jones (DFO)"	Aquaculture - Sea Lice
