Account Title,First Name,Last Name,PI Rank,Sponsor Name,Program Name,FacultyName,DepartmentName,Project Start Date,Project End Date,Award Type,CoI Team Count,SemiColon Co Investigators FirstLast,Column1,Column2,Column3
Evaluating the impact of grassland set asides on agricultural productivity in Delta BC,Sean,Smukler,Assistant Professor,"MITACS, Inc.",Accelerate Graduate Internship Program,Land and Food Systems,,2016-01-01 00:00:00.0000000,2018-12-31 00:00:00.0000000,Grant,1,Maja Krzic,,,
Sharing our wisdom:  a holistic aboriginal health initiative,Eduardo,Jovel,Associate Professor,Vancouver Foundation,Community Based Health Research Grant,Land and Food Systems,Agroecology,2013-07-01 00:00:00.0000000,2016-07-31 00:00:00.0000000,Grant,2,Lee Brown;Teresa Howell,,,
Inspection of food quality and safety using hyperspectral imaging technique,Xiaonan,Lu,Assistant Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Research Tools and Instruments ,Land and Food Systems,Food Science,2017-03-31 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,5,Keng-Chang Chou;Rickey Y. Yada;Savvas G. Hatzikiriakos;Walter (Russ) Algar;Xiaotao Bi,,,
NSERC Undergraduate Student Research Awards - UBCV Faculty of Land and Food Systems,Rickey Y.,Yada,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),University Undergraduate Student Research Awards,Land and Food Systems,,2015-04-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,12,Charles Shuler;Dermot Kelleher;Gage Averill;Gordon James Binsted;John Innes;Marc Parlange;Michael Coughtrie;Rickey Y. Yada;Robert Boushel;Robert W. Helsley;Simon M. Peacock;Wisdom Tettey,,,
Lameness in transition cows,Marina Andrea G.,von Keyserlingk,Professor,Investment Agriculture Foundation of British Columbia,Growing Forward 2,Land and Food Systems,Animal Welfare,2017-05-01 00:00:00.0000000,2018-01-31 00:00:00.0000000,Agreement,1,Dan M. Weary,,,
Development of validated seed disinfection strategies for the organic production of sprouted vegetables,Siyun,Wang,Assistant Professor,Agriculture and Agri-Food Canada,,Land and Food Systems,Food Science,2014-04-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Agreement,1,Zhaoming Xu,,,
Evaluating the impact of Greater Vancouver food bank society's community food hubs program,Jennifer L.,Black,Assistant Professor,Canadian Institutes of Health Research (CIHR),Operating Grant: Population Health Intervention Research,Land and Food Systems,Human and Animal Nutrition,2015-01-01 00:00:00.0000000,2016-12-31 00:00:00.0000000,Grant,1,Nathanael T. Lauster,,,
"Adapting BC Horticulture through protected crop research and demonstration 

",T. Andrew,Black,Professor,British Columbia Investment Agriculture Foundation,Climate Change Adaptation Program,Land and Food Systems,,2015-04-01 00:00:00.0000000,2018-02-15 00:00:00.0000000,Agreement,1,Sean Smukler,,,
NSERC industrial research chair in dairy cattle welfare - Research,David,Fraser,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Industrial Research Chairs - Regular,Land and Food Systems,Animal Welfare,2009-02-01 00:00:00.0000000,2014-07-31 00:00:00.0000000,Grant,3,Dan M. Weary;David Fraser;Marina Andrea G. von Keyserlingk,,,
Metabolic consequences of high-dose folic acid supplementation on kinetics of 1-carbon metabolism,Yvonne,Lamers,Assistant Professor,Canadian Institutes of Health Research (CIHR),Operating Grant Priority Announcement,Land and Food Systems,Human and Animal Nutrition,2015-03-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,1,Jehannine Austin,,,
Demonstrating long-term improvements in soil productivity on delta farmland,Maja,Krzic,Associate Professor,Delta Farmland and Wildlife Trust,,Land and Food Systems,Agroecology,2015-03-01 00:00:00.0000000,2020-02-29 00:00:00.0000000,Agreement,1,Sean Smukler,,,
Industrial Research Chair in Dairy Cattle Welfare,Marina Andrea G.,von Keyserlingk,Professor,,,Land and Food Systems,Animal Welfare,2014-04-01 00:00:00.0000000,2019-03-31 00:00:00.0000000,,2,Dan M. Weary;David Fraser,,,
Scale up of Homestead Food Production for improved household food security and nutrition in Cambodia,Tim John,Green,Adjunct Professor,International Development Research Centre,,Land and Food Systems,Human and Animal Nutrition,2015-03-03 00:00:00.0000000,2018-05-31 00:00:00.0000000,Agreement,3,Jeff Kroeker;Judy McLean;Rickey Y. Yada,,,
