Account Title,Abstracts
Inspection of food quality and safety using hyperspectral imaging technique,"Producers, processors and ultimately Canadian consumers stand to benefit from the development of automated, non-destructive, rapid, high-throughput and accurate techniques for on-line inspection of food quality and safety in the food production industry. Continuous process monitoring would enable a producer to maximize the value and minimize the waste when it comes to utilization of raw materials and assurance of production quality; hence, offering consumers with a product of greater nutritional value at a lower cost. High-capacity process monitoring requires non-contact optical techniques, which uses digital imaging and molecular spectroscopy. The applicant’s NSERC Discovery Grant, Collaborative Research and Development Grant, and Engage Grant research programs focus on the application of these methodologies for the inspection of food quality and safety.

This proposal therefore aims to request for funds to acquire a hyperspectral imaging platform to be used by a team of UBC research groups in Food Science, Chemistry, and Chemical & Biological Engineering. This research project in particular will apply spectrochemical and 2D optical image processing to develop a reliable and objective inspection system capable of monitoring food quality and safety in a rapid and non-destructive manner. Availability of such a hyperspectral imaging system will minimize reliance on human inspection of food quality and safety during food production and delivery and establish food external and compositional attributes. Overall, the combination of spectral and imaging information will enable an efficient new mean for the reliable on-line inspection of the quality and safety of fruit and meat. 

It is expected that the research using the hyperspectral imaging system will provide sufficient information on the normal and abnormal variance in the composition of bulk commodity food items. Furthermore, research in the classification of spectral and morphological materials will provide unique opportunities to train highly qualified personnel in Canada to become leaders with expertise in the application of spectroscopic-based instrumental technologies, both as research tools, and as a mean to complement traditional methods for the determination of food quality and safety."
Evaluating the impact of Greater Vancouver food bank society's community food hubs program,"Canadians living in poverty have higher risks of nutrition-related diseases like type2 diabetes and heart disease. Over a million Canadians also experience stress, hunger and poor health because they cannot afford healthy food. Each week, 28,000 people rely on food from the Greater Vancouver Food Bank Society (GVFBS) to help feed their families. Yet, we do not know much about people who come to the food bank, including what health issues they face, what makes it difficult for them to eat a healthy diet or how food banks can help them improve their health.

GVFBS is now changing how they work by providing food that is more nutritious and inviting members to choose their own foods, instead of handing out a set basket of foods. They are moving programs into larger, brighter and more convenient spaces called food hubs where members can buy fresh, affordable fruits and vegetables while picking up other free foods and household items. GVFBS is also partnering with community organizations to provide nutrition education and health screenings like blood pressure testing and to help connect members to other valuable services.

This research project will test how well the new community food hub programs work. The main goals are to see if food hubs help members get more fruits and vegetables and less salt in their diet or help reduce hunger by linking members with more reliable sources of healthy food. We will conduct focus groups and surveys to learn how food hubs can help people access healthy foods and improve their overall health.

This project will make important changes that benefit the health of Canadians at high risk of chronic diseases. We will share lessons from Vancouver with food banks, policy makers and researchers across the country and will build on the longstanding relationships food banks have in their communities to improve access to healthy food and services that promote good health, provided with dignity and respect.
"
NSERC industrial research chair in dairy cattle welfare - Research,"The objective of the proposed research program is to produce science-based recommendations that will allow producers to promote the welfare of their dairy cattle. The research will focus on two important areas: (1) optimizing welfare during the transitions in diet and management that occur over a dairy cow's life; and (2) improving health through improvements in management and facility design. Dairy cows experience several transitions over their life. These include weaning (calves are switched from milk to starter feed and starter feed to forage), the onset of lactation, and the cessation of lactation. Research is needed to manage these transitions with minimum stress for the animal. The work will also build upon existing research on cow health and facility design (especially cow comfort, flooring, feeder and stall design) to better understand how housing conditions contribute to the risk of disease in cattle such as lameness, mastitis and metritis. This understanding will form the basis of science-based recommendations to dairy producers for improved facility design.

The UBC Animal Welfare Program's faculty, along with students, post-doctoral fellows, visiting researchers and adjunct professors, compose the world's foremost research group working on cattle welfare and behaviour. Studies will be conducted at the state-of-the-art UBC Dairy Education and Research Centre in Agassiz, British Columbia, recognized as one of the leading dairy research facilities in the world. This facility is a fully operational dairy farm, but managed and designed to support dairy research and technology transfer."
Enhancement of vitamin B12 content in yoghurt using fortification strategies and vitamin producing probiotics,"Dairy products are the leading food sources of vitamin B12. The regular consumption of dairy products is a key contributor to vitamin B12 status compared to the consumption of eggs or meat. The consumption of dairy products in Canada however is below the recommended daily intake of two servings. This occurrence corresponds to national survey data reporting a high rate of vitamin B12 inadequacy in the general population. Food fortification is an effective strategy to increase the intake of a nutrient that is less abundant in the diet. Because vitamin B12 is best absorbed from milk products compared to other food products, yoghurt seems to be an ideal food vehicle for vitamin B12 fortification to improve dietary vitamin B12 intakes. There are no vitamin B12 fortified foods in Canada, other than simulated dairy and meat products. Adults aged > 50 years, which make up 37% of Canadians, are recommended to meet their daily vitamin B12 requirements mainly through consumption of fortified foods and/or dietary supplements (i.e., sources of isolated vitamin B12), due to the age-related decrease in absorption capacity of food-bound vitamin B-12. In light of the high rate of vitamin B12 inadequacy in the general population, fortifying dairy products with vitamin B12 could fill a gap that presently exists in the diet of Canadians, and more so in the growing older population. We aim to study whether the consumption of B12-fortified yoghurt enables older adults to achieve optimal vitamin B12 status. Probiotics are beneficial for a healthy gastrointestinal system and are mostly found in dairy products. We aim to compare the efficacy of yoghurt fortified with isolated vitamin B12 versus vitamin B12 producing probiotics on improving vitamin B12 status in older adults. The outcomes of this project will help to promote the consumption of dairy – as a natural and excellent food source of bioavailable vitamin B12 and as a novel food product – with the overall goal to reduce the high rates of suboptimal vitamin B12 status in Canadians."
Cut-point analysis of vitamin B12 deficiency indicators for early diagnosis of functional impairments in children,"Vitamin B12 deficiency in early childhood can result in severe and permanent adverse health consequences. There is also a lack of an accurate tool for vitamin 812 deficiency diagnosis in children. Blood vitamin B12 levels are evaluated against adult normal values, yet early consequences may occur before blood levels appear to be ""abnormal"". Our research team recently developed a new method to measure a more sensitive marker of vitamin B12 deficiency. By comparing the new method with clinical vitamin B12 testing in blood of at-risk children, we aim to define levels of vitamin B12 deficiency that warrant early treatment."
Exploring the role of in-school food advertising and adolescent dietary outcomes,"The prevalence of obesity and related chronic diseases among Canadian youth has risen significantly over the past several decades, in part because of poor dietary patterns. While many factors influence diet, food and beverage advertising is thought to be important because of its significant association with the food preferences and choices of youth. These associations are not surprising given that many youth lack the necessary cognitive abilities to understand and/or resist the persuasive intent of advertising. To date, minimal research has explored whether associations between food advertising and dietary outcomes extend to settings outside the home, and none have looked at these relations within the context of Canadian schools where youth spend much of their day. Without this information, employing a multi-sectoral approach to reduce the negative impact of advertising on youth is unlikely. The purpose of this proposal is two-fold. First, all in-school food advertising will be documented and described within a sample of Vancouver schools. Second, connections between school-level food advertising and student level dietary outcomes will be examined. These objectives will be met by developing and piloting a measurement tool and coding protocol to capture all in-school food advertising and by using multilevel statistical methods to analyze existing data from the CIHR-funded Food Practices on School Days Study, a cross-sectional study (n~ 1,000) that builds on a larger 5-year SSHRC Community University Research Alliance program that was funded to initiate a variety of food system and curricular initiatives in Vancouver Schools (K-12). Research findings will: provide insight into the prevalence of food and beverage advertising within Vancouver schools; help to determine associations between food and beverage advertising and the dietary outcomes of youth; and guide future school-based interventions and/or policy decisions for improving dietary outcomes among youth."
NSERC industrial research chair in dairy cattle welfare - Research,"The objective of the proposed research program is to produce science-based recommendations that will allow producers to promote the welfare of their dairy cattle. The research will focus on two important areas: (1) optimizing welfare during the transitions in diet and management that occur over a dairy cow's life; and (2) improving health through improvements in management and facility design. Dairy cows experience several transitions over their life. These include weaning (calves are switched from milk to starter feed and starter feed to forage), the onset of lactation, and the cessation of lactation. Research is needed to manage these transitions with minimum stress for the animal. The work will also build upon existing research on cow health and facility design (especially cow comfort, flooring, feeder and stall design) to better understand how housing conditions contribute to the risk of disease in cattle such as lameness, mastitis and metritis. This understanding will form the basis of science-based recommendations to dairy producers for improved facility design.

The UBC Animal Welfare Program's faculty, along with students, post-doctoral fellows, visiting researchers and adjunct professors, compose the world's foremost research group working on cattle welfare and behaviour. Studies will be conducted at the state-of-the-art UBC Dairy Education and Research Centre in Agassiz, British Columbia, recognized as one of the leading dairy research facilities in the world. This facility is a fully operational dairy farm, but managed and designed to support dairy research and technology transfer.
"
UBC nutritional biomarker laboratory,"Vitamin adequacy means a sufficient yet not overly high intake of these essential nutrients that is linked to the lowest risk of disease development. Dr. Lamers has been working on defining B-vitamin adequacy and strategies for disease prevention for 15 years. Her results help our understanding of the role of B-vitamins in disease development and in the elaboration of sensitive and simple tools for diagnosing B-vitamin deficiencies. Dr. Lamers' research outcomes are being translated into clinical practice and are disseminated in the general public to increase awareness about potential causes and risks of vitamin deficiencies. 

The requested infrastructure will complement Dr. Lamers' established and CFI funded state-of-the-art facility using cutting-edge technology for determining vitamins and related metabolites in study samples. The equipment will enhance her productivity, benefit other researchers at her institutions and in the Canadian community, support the training of highly skilled and motivated young scientists, and allow the expansion of established national and international collaborations. The new infrastructure will allow the sustainability of Dr. Lamers' innovative research program on defining the functional consequences of B-vitamin inadequacy and improving available assessment tools for diagnosing vitamin B-12 deficiency in pregnancy and infancy. The results of all research projects are truly translational and have the potential to be commercialized.
"
Identification of novel genetic factors contributing to the significance of listeria monocytogenes as a foodborne pathogen,"The provision of safe, wholesome foods is essential for the well-being of humans. In Canada, the safety of our foods was recently questioned following four major outbreaks of foodbome disease in 2008, the most notable of which resulted in the deaths of23 Canadians who consumed deli meats contaminated with Listeria monocytogenes. In the wake of these events, an independent panel of experts produced the Weatherill Report detailing 57 recommendations to improve food safety. Despite the ongoing implementation of these recommendations, issues with L. monocytogenes persist. While recalls of contaminated foods suggests the food safety system is working, it also demonstrates ineffective control at the food processor level. The objective of this research program is to identify novel mechanisms enabling L. monocytogenes to persist for long periods in food production environments, survive in food, and, ultimately, cause human disease. Research will focus on the characterisation of genes contributing to survival against food chain stresses (e.g. sanitizers, low water activity, acid, etc.). Also, mechanisms associated with cold adaptation, growth, and survival will be investigated. Knowledge gained from will provide an improved understanding of how L. monocytogenes persists in foods and food production environments, enabling the development of new and improved intervention strategies. In addition, this program will prepare participating students to address Canada's food safety issues."
Identification and characterization of indigenous B.C. wine yeast strains,"In competitive wine markets, British Columbian (BC) wineries must create high-value wines that express the unique character, or terroir, of their region. Wines are produced by inoculated fermentation with commercial strains of the wine yeast Saccharomyces cerevisiae (S. cerevisiae) or by spontaneous fermentation, which relies on yeast residing on grapes and winery equipment. Spontaneous fermentations are risky but can produce organoleptically complex wines if indigenous yeast species dominate the fermentation. The goal of my research is to identify indigenous yeast present in BC vineyards with enological potential that showcase BC terroir. Since 2013, we have collaborated with two BC wineries that perform Pinot Gris and Pinot Noir spontaneous fermentations. Concurrent with winery fermentations, we harvested the same grape varietals and fermented them in the lab. We isolated S. cerevisiae strains from winery and vineyard fermentations, performed microsatellite profiling and compared the data to a microsatellite database that we compiled of over 120 commercial S. cerevisiae wine yeast strains. Commercial strains were ubiquitous in the winery fermentations whereas ~200 distinct S. cerevisiae microsatellite genotypes were isolated from our vineyard fermentations. We also identified Saccharomyces bayanus (S. bayanus) as a prominent yeast species in the Pinot Gris fermentations. 
Aim 1. Phenotypic profiling of S. cerevisiae strains isolated from spontaneous fermentations. Bayesian clustering analysis of our 200 S. cerevisiae strains revealed 12 population clusters. We will perform small scale fermentations with representative strains from each cluster. Strains with vigorous fermentation profiles will be analyzed for positive flavor compounds. Phenotypic analysis of traits important for wine production and whole genome sequencing of strains with enological potential will be performed.
Aim 2. Identification of yeast species during spontaneous fermentation. Nonconventional yeasts such as Metschnikowia are found in spontaneous fermentations and contribute sensorial complexity to the wine. We will identify non-Saccharomyces species present in our winery and vineyard fermentations by direct DNA extraction from wine samples and Illumina next generation sequencing. Our goal is to analyze the contribution of nonconventional yeast to the winery and vineyard fermentations.
Aim 3. Characterize the potential of S. bayanus and non-Saccharomyces yeasts in wine fermentation. We isolated 4 unique strains of S. bayanus that dominated both winery and vineyard Pinot Gris fermentations. S. bayanus performs well in low temperature fermentations and produces wines with less acetic acid and higher aromatic intensity. S. bayanus and non-Saccharomyces strains will be co-inoculated with S. cerevisiae strains to identify ideal strain combinations for high quality wine production.
"
